Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6M4nkEPZMj58acftDRTuKL,"Tous les mêmes","racine carrée","Stromae",2013-01-01,210933,73,false,69oh5k00ex7bpgk11ozuiftdn,2021-09-15T10:46:58Z,"french pop","Universal Music Distributed Labels",0.701,0.638,5,-9.061,0,0.165,0.223,0.00219,0.279,0.646,109.96,4
spotify:track:2cy5F36NoF5DihBkx0S3G7,"Mawce","Mawce","Everybody's Worried About Owen",2021-07-23,182786,0,false,69oh5k00ex7bpgk11ozuiftdn,2021-09-21T21:53:54Z,"midwest emo,folk punk","Everybody's Worried About Owen",0.579,0.45,11,-9.358,1,0.0414,0.675,0,0.138,0.619,103.889,4
spotify:track:7j31rVgGX9Q2blT92VBEA0,"Teenagers","The Black Parade","My Chemical Romance",2006-10-20,161920,82,false,69oh5k00ex7bpgk11ozuiftdn,2021-09-21T21:54:34Z,"emo,pop punk","Reprise",0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,4
spotify:track:3v6ULbLrEG19MECsVunwU7,"Less Miserable","Parody City","Friz Frizzle",2019-03-01,134315,0,false,69oh5k00ex7bpgk11ozuiftdn,2021-09-22T00:50:51Z,"","Friz Frizzle",0.575,0.237,0,-14.436,1,0.0916,0.955,0.0018,0.101,0.439,138.168,4
spotify:track:4Ys8jQvZOISzmp34BsImRf,"Washing Machine Heart","Be the Cowboy","Mitski",2018-08-17,128198,0,false,69oh5k00ex7bpgk11ozuiftdn,2021-09-22T01:24:20Z,"","Dead Oceans",0.617,0.821,9,-4.085,1,0.026,0.00999,0.494,0.426,0.581,106,4
spotify:track:3lWU0u5AZTmr0vm3m8VV2R,"Goodnight Socialite","Violent Things","The Brobecks",2009-04-25,199720,44,false,69oh5k00ex7bpgk11ozuiftdn,2021-09-22T01:52:06Z,"","None, You Jerk",0.2,0.518,9,-9.816,0,0.0444,0.00761,0,0.0477,0.329,89.038,4
spotify:track:5cxnSTLzGD1t9xcdmJYFVB,"No Children","Tallahassee","The Mountain Goats",2003-01-27,168306,60,false,69oh5k00ex7bpgk11ozuiftdn,2021-09-24T23:46:04Z,"folk punk,anti-folk,indie folk","4AD",0.607,0.411,1,-7.566,1,0.0414,0.603,0.000671,0.103,0.412,84.94,4
spotify:track:1n7xFAY4xoPeqRvrkzAtsw,"Good Old-Fashioned Lover Boy - Remastered 2011","A Day At The Races (Deluxe Edition 2011 Remaster)","Queen",1976-12-10,173173,69,false,69oh5k00ex7bpgk11ozuiftdn,2021-09-24T23:47:46Z,"classic rock,rock,glam rock","EMI",0.543,0.461,3,-6.724,1,0.0302,0.577,0,0.0563,0.385,96.803,4
spotify:track:0QMiI7yf8rHfwdfvJIgvrE,"Nerds - Studio","what.","Bo Burnham",2013-12-17,206329,0,true,69oh5k00ex7bpgk11ozuiftdn,2021-09-27T04:44:25Z,"comedy","Comedy Central",0.764,0.722,2,-6.033,1,0.106,0.32,0.000604,0.0787,0.369,134.095,4
spotify:track:0NGz93DRCywH2qs7eLzYJ2,"Eff - Studio","what.","Bo Burnham",2013-12-17,170440,0,true,69oh5k00ex7bpgk11ozuiftdn,2021-09-27T04:55:35Z,"comedy","Comedy Central",0.717,0.81,4,-5.692,0,0.0515,0.308,0,0.094,0.742,93.026,4
spotify:track:7y7aSSTiQfO0Ace4F7yxzE,"You Were Meant For Me","Pieces Of You","Jewel",1995-02-28,254480,65,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-01T10:08:32Z,"singer-songwriter","Craft Recordings",0.582,0.33,6,-7.928,1,0.0347,0.791,0.00000148,0.105,0.407,111.873,4
spotify:track:6aDyiU2cVrqh33UEnEo3WA,"6/10","6/10","dodie",2017-07-07,185504,38,false,69oh5k00ex7bpgk11ozuiftdn,2021-10-01T10:12:23Z,"","Independent",0.262,0.163,7,-15.949,1,0.0432,0.946,0.0948,0.103,0.0394,76.501,4
